label,x1,y1,t1,x2,y2,t2
0,10.42691179315503,55.36832133069222,61418753,10.42691179315503,55.36832133069222,61483000
1,10.405767599999995,55.367947968421866,62678054,10.405767599999995,55.367947968421866,62678054
2,10.372039662557741,55.386358698019855,74721632,10.372039662557741,55.386358698019855,74786239
3,10.405798299999997,55.367921468418245,75777518,10.405798299999997,55.367921468418245,75777518
4,10.406171340576362,55.3681061090759,28687083,10.406171340576362,55.3681061090759,28767031
5,10.430200100000015,55.36732556833679,29528571,10.430200100000015,55.36732556833679,29528571
6,10.429311366874504,55.36727187005077,56772990,10.429311366874504,55.36727187005077,56828933
7,10.405795700006262,55.367918018418095,58235664,10.405795700006262,55.367918018418095,58251136
8,10.405295505187445,55.36802796492971,54506808,10.405295505187445,55.36802796492971,54625825
9,10.371772,55.38670407099565,55485835,10.371772,55.38670407099565,55485835
10,10.40600475891631,55.36813702349359,28314821,10.40600475891631,55.36813702349359,28353000
11,10.428919999999982,55.36810576844345,28780093,10.428919999999982,55.36810576844345,28780093
12,10.428496928704414,55.36742901981327,51327012,10.428496928704414,55.36742901981327,51428200
13,10.405533399999996,55.36798336842671,51927463,10.405533399999996,55.36798336842671,51927463
14,10.404756849807626,55.36797069229801,61920969,10.404756849807626,55.36797069229801,61962762
15,10.405851220000008,55.36791799841778,63485431,10.405851220000008,55.36791799841778,63485431
16,10.406500402800907,55.36841852368531,27250931,10.406500402800907,55.36841852368531,27284738
17,10.429267900000017,55.36733176833765,27747478,10.429267900000017,55.36733176833765,27747478
18,10.428533967091717,55.36729393605663,58542542,10.428533967091717,55.36729393605663,58614700
19,10.405781100000011,55.36793826842055,59768199,10.405781100000011,55.36793826842055,59768199
20,10.405988503181513,55.36810150482753,27417499,10.405988503181513,55.36810150482753,27505000
21,10.430170980000005,55.36732384833656,28017000,10.430170980000005,55.36732384833656,28017000
22,10.426549325104434,55.36868880133419,55405435,10.426549325104434,55.36868880133419,55446000
23,10.405792600000002,55.367941868421035,55846890,10.405792600000002,55.367941868421035,55846890
24,10.405448667831758,55.367971891325155,49493458,10.405448667831758,55.367971891325155,50297000
25,10.380765399999994,55.39960837277789,53182291,10.380765399999994,55.39960837277789,53182291
26,10.394873855111637,55.3690971997376,63204360,10.394873855111637,55.3690971997376,63259642
27,10.405802099999999,55.36796256842388,64272156,10.405802099999999,55.36796256842388,64272156
28,10.406244612111655,55.3681411441831,38450443,10.406244612111655,55.3681411441831,38630000
29,10.408134694224016,55.372343454284994,39933137,10.408134694224016,55.372343454284994,40040000
30,10.405806699999989,55.36794046842084,40804852,10.405806699999989,55.36794046842084,40804852
31,10.429821490657417,55.367338755181635,55158539,10.429821490657417,55.367338755181635,55260473
32,10.405774629999986,55.36787012841123,56137000,10.405774629999986,55.36787012841123,56137000
33,10.405434088542593,55.36805824111467,67382243,10.405434088542593,55.36805824111467,67443358
34,10.372026359999872,55.38683857101462,69057696,10.372026359999872,55.38683857101462,69282582
35,10.372040469177668,55.38666048778884,73933293,10.372040469177668,55.38666048778884,74252000
36,10.405819200000005,55.367886968413536,75200393,10.405819200000005,55.367886968413536,75200393
37,10.40597336105553,55.36814429667105,28043885,10.40597336105553,55.36814429667105,28131544
38,10.429648699999994,55.36726906832909,28584439,10.429648699999994,55.36726906832909,28584439
39,10.429021749936636,55.36737636429216,51877830,10.429021749936636,55.36737636429216,51989534
40,10.405774100000002,55.36791186841694,52596722,10.405774100000002,55.36791186841694,52596722
41,10.40595776992592,55.36836204386829,26028001,10.40595776992592,55.36836204386829,26105279
42,10.42995149999999,55.36709106830475,26785211,10.42995149999999,55.36709106830475,26785211
43,10.429463700094733,55.367256209385715,52706295,10.429463700094733,55.367256209385715,52749913
44,10.405788500000002,55.367943068421205,53743739,10.405788500000002,55.367943068421205,53743739
45,10.406948216090623,55.368676238594354,44566800,10.406948216090623,55.368676238594354,44609963
46,10.405790099999999,55.36795466842279,45921902,10.405790099999999,55.36795466842279,45921902
47,10.405483818134211,55.36841942223095,66154591,10.405483818134211,55.36841942223095,66358961
48,10.372044599999999,55.3868727710189,67178828,10.372044599999999,55.3868727710189,67178828
49,10.371793712042686,55.38654314999338,74250000,10.371793712042686,55.38654314999338,74400000
50,10.405812799999985,55.3679108684168,75379563,10.405812799999985,55.3679108684168,75379563
51,10.406193085432555,55.36806248340225,29006407,10.406193085432555,55.36806248340225,29089000
52,10.430260100000016,55.36741156834855,29752817,10.430260100000016,55.36741156834855,29752817
53,10.406031482862511,55.367857357705525,36182199,10.406031482862511,55.367857357705525,36360737
54,10.405795980001512,55.367893588414816,38574685,10.405795980001512,55.367893588414816,39472268
55,10.405857782118911,55.36811511851667,24745475,10.405857782118911,55.36811511851667,24822211
56,10.4302508,55.36740566834775,25337383,10.4302508,55.36740566834775,25337383
57,10.429861232478462,55.36737056962888,55791579,10.429861232478462,55.36737056962888,55876683
58,10.405850999999998,55.367878968412434,56441739,10.405850999999998,55.367878968412434,56441739
59,10.40540377293388,55.36803343645472,66429613,10.40540377293388,55.36803343645472,66463405
60,10.372007200000002,55.386914971024694,67553918,10.372007200000002,55.386914971024694,67553918
61,10.372076624831667,55.386666635145204,74037385,10.372076624831667,55.386666635145204,74266000
62,10.405816599999998,55.36788386841312,75294297,10.405816599999998,55.36788386841312,75294297
63,10.405832231175122,55.36812972850212,35563341,10.405832231175122,55.36812972850212,35614045
64,10.429951399999993,55.36833476847475,36223401,10.429951399999993,55.36833476847475,36223401
65,10.406046016124009,55.36797012941843,43089156,10.406046016124009,55.36797012941843,43261028
