x,y,t
10.358714370000007,55.362304597651324,71178162
10.358737569999995,55.36231008765205,71182537
10.358819010000001,55.362346407657014,71184707
10.35891732999999,55.362404837665,71189093
10.358956939999993,55.36243234766874,71191255
10.359183450000005,55.36248004767524,71198782
10.359218940000002,55.36255406768534,71200969
10.35928577,55.36260417769217,71203135
10.359358959999996,55.362644357697654,71205329
10.359581659999998,55.36277953771609,71209617
10.359820830000007,55.36296405774127,71216749
10.359917149999982,55.363026057749714,71218947
10.35999186999999,55.363083597757566,71221154
10.360124180000007,55.363204967774124,71225431
10.360233890000002,55.36329366778623,71227591
10.360354880000008,55.363314637789095,71229761
10.36040837000001,55.36330541778784,71231968
10.360458759999998,55.36328680778529,71234133
10.36051455,55.36327050778308,71236288
10.360555559999991,55.36324446777952,71238472
10.360587930000015,55.3631731977698,71240615
10.360637010000008,55.36311711776214,71242780
10.360749380000014,55.36308981775842,71244949
10.360804010000006,55.363059697754316,71247127
10.360845159999997,55.36303248775061,71249327
10.360928790000003,55.363016057748354,71251515
10.361030790000008,55.362982487743785,71253703
10.361158700000008,55.36289923773244,71255859
10.361195909999983,55.36285483772638,71258028
10.361265209999988,55.36278433771674,71260229
10.361560189999988,55.36259209769052,71264560
10.361595670000009,55.362551707685014,71266717
10.361652259999993,55.362505307678695,71268867
10.36169826999999,55.362461187672686,71271033
10.36175282,55.36242020766709,71273189
10.361836470000007,55.362369237660126,71275389
10.362015170000006,55.36228795764905,71277562
10.362094939999999,55.36224043764257,71279718
10.36217194000001,55.362190097635704,71281877
10.362314229999988,55.362085297621405,71286215
10.362385490000015,55.362029157613755,71288363
10.362460100000007,55.361966447605205,71290573
10.36253869,55.36192102759901,71292774
10.36258727,55.36188911759465,71294952
10.362629270000012,55.36186562759144,71297125
10.362687330000009,55.36182705758621,71299284
10.362730060000006,55.36179071758124,71301466
10.362836170000008,55.3616906275676,71303628
10.362869460000004,55.36163246755966,71305773
10.362926290000008,55.36160632755608,71307936
10.36297406,55.361576227552,71310137
10.363024409999992,55.36152736754533,71312344
10.363126629999998,55.36146400753668,71314533
10.363354169999981,55.36129424751355,71318890
10.363434609999992,55.36124934750743,71321046
10.363521480000015,55.36119664750025,71323229
10.363620230000006,55.361142657492884,71325401
10.363859280000014,55.36106583748241,71327528
10.363993290000012,55.36103604747836,71329704
10.36441275,55.36108763748538,71335900
10.364552549999994,55.36112009748981,71338049
10.364684440000001,55.361152197494185,71340205
10.364795229999995,55.36118837749912,71342420
10.364925780000021,55.36124886750736,71344596
10.365039960000004,55.361263387509325,71346733
10.365136189999989,55.361305747515104,71348905
10.365258439999984,55.36134509752048,71351094
10.365387559999999,55.36139351752709,71353266
10.36551399999999,55.361444387534014,71355451
10.365674709999986,55.36151402754352,71357625
10.365831359999993,55.36156881755099,71359785
10.365952249999994,55.36163989756067,71361958
10.366086139999988,55.36168205756642,71364126
10.366223610000002,55.361717457571245,71366292
10.366355950000003,55.36175829757682,71368468
10.366522539999998,55.36180242758283,71370627
10.366685400000009,55.36186179759092,71372842
10.366929890000002,55.36196520760503,71377197
10.367069390000005,55.362012137611444,71379354
10.367256489999992,55.36207813762042,71381517
10.367417269999995,55.36215916763148,71383679
10.36754641999999,55.36220867763822,71385864
10.367690129999996,55.36225810764496,71388035
10.367816060000004,55.3623366176557,71390193
10.368036910000008,55.3624159076665,71394576
10.368179189999998,55.362433907668944,71396725
10.368314750000012,55.36246372767301,71398887
10.368441000000004,55.36249782767767,71401041
10.36856501,55.3625530776852,71403186
10.36868036,55.36261445769358,71405357
10.369204700000001,55.36284922772561,71411541
10.369313499999988,55.36293177773686,71413732
10.369472459999992,55.36302243774923,71415881
10.36972570000001,55.363133577764394,71420208
10.369850219999996,55.363177827770436,71422358
10.370042820000013,55.36321855777599,71424540
10.37014391000001,55.36321879777603,71426704
10.370261579999998,55.363267407782644,71428845
10.370381790000001,55.36330343778757,71431006
10.370623220000006,55.363423767803994,71433157
10.370757890000009,55.36347011781032,71435355
10.37092400999998,55.36353771781954,71437507
10.371057240000003,55.363597377827666,71439646
10.371278510000012,55.36363207783241,71441801
10.371450579999996,55.36370620784252,71443943
10.37157369000001,55.363718947844276,71446104
10.371717049999987,55.36377501785192,71448286
10.371851299999994,55.36380895785655,71450457
10.372011729999997,55.3638372578604,71452652
10.372134940000013,55.36386816786463,71454830
10.372336439999996,55.36396333787761,71456986
10.372466250000008,55.36401323788443,71459138
10.372570759999988,55.36407926789344,71461287
10.37268932000001,55.36414956790304,71463454
10.372960950000003,55.36428612792168,71465618
10.373099960000015,55.36434751793006,71467790
10.37325319,55.36439924793711,71469987
10.373386719999997,55.364456947944994,71472137
10.373523130000004,55.3645236679541,71474290
10.373665040000006,55.364582167962084,71476454
10.373833679999999,55.364653397971814,71478624
10.373925379999987,55.364690057976816,71480796
10.373989009999997,55.364752807985376,71482915
10.37405466000002,55.364772857988115,71487235
10.37406761000001,55.36478251798944,71491527
10.374069219999988,55.36480164799206,71500039
10.374080419999993,55.36480488799249,71512101
10.374098070000013,55.36479628799132,71514256
10.374173829999993,55.36474783798471,71516401
10.374195229999993,55.36466865797389,71518594
10.374241059999996,55.364592247963465,71520745
10.37430969,55.3645266179545,71522926
10.374365159999993,55.364468087946506,71525094
10.374408980000018,55.36441611793942,71527220
10.37445860000001,55.364345167929734,71529365
10.374506149999997,55.364205527910684,71531504
10.37448124,55.36413820790148,71533667
10.374530089999993,55.3640423778884,71535818
10.37466491999999,55.363735997846604,71541978
10.37470561,55.36360984782939,71544130
10.374721940000002,55.36350495781506,71546338
